"star_id","const_id"
9487,"chinese-262"
9487,"dakota-007"
9487,"korean-120"
9487,"romanian-Psc"
9487,"western-Psc"
9505,"korean-116"
9505,"navajo-004"
9589,"korean-120"
9598,"chinese-080"
9598,"korean-214"
9640,"arabic-001"
9640,"chinese-215"
9640,"korean-108"
9640,"navajo-004"
9640,"romanian-Jgb"
9640,"western-And"
9727,"chinese-267"
9763,"chinese-080"
9802,"chinese-080"
9808,"navajo-004"
9884,"arabic-005"
9884,"arabic_moon_stations-001"
9884,"belarusian-013"
9884,"chinese-014"
9884,"dakota-008"
9884,"japanese_moon_stations-16"
9884,"korean-109"
9884,"romanian-Ber"
9884,"western-Ari"
9909,"navajo-002"
9977,"korean-108"
9990,"tukano-005"
10000,"navajo-002"
10031,"chinese-080"
10064,"arabic-043"
10064,"chinese-215"
10064,"dakota-008"
10064,"egyptian-006"
10064,"korean-108"
10064,"navajo-004"
10064,"western-Tri"
10155,"korean-110"
10234,"chinese-242"
10305,"chinese-242"
10305,"korean-120"
10306,"korean-110"
10324,"arabic-015"
10324,"chinese-242"
10324,"korean-120"
10324,"romanian-Chi"
10324,"western-Cet"
10328,"korean-110"
10340,"korean-108"
10388,"navajo-002"
10438,"chinese-057"
10557,"navajo-002"
10559,"arabic-043"
10602,"arabic-025"
10602,"chinese-252"
10602,"western-Eri"
10642,"chinese-053"
10642,"romanian-Chi"
10644,"chinese-215"
10670,"chinese-215"
10670,"dakota-008"
10670,"egyptian-006"
10670,"korean-108"
10670,"navajo-004"
10670,"western-Tri"
10729,"tukano-005"
10732,"korean-110"
10777,"navajo-004"
10814,"tukano-005"
10826,"arabic-015"
10826,"western-Cet"
11001,"chinese-182"
11001,"western-Hyi"
11029,"chinese-053"
11046,"chinese-242"
11060,"chinese-062"
11261,"chinese-053"
11279,"tukano-005"
11345,"arabic-015"
11345,"chinese-053"
11345,"korean-128"
11345,"romanian-Chi"
11345,"western-Cet"
11407,"arabic-025"
11407,"chinese-252"
11407,"western-Eri"
11477,"korean-129"
11484,"arabic-015"
11484,"chinese-242"
11484,"egyptian-015"
11484,"korean-120"
11484,"romanian-Chi"
11484,"western-Cet"
11569,"chinese-081"
11569,"korean-099"
11569,"navajo-002"
11767,"arabic-045"
11767,"aztec-004"
11767,"belarusian-010"
11767,"belarusian-016"
11767,"chinese-083"
11767,"hawaiian_starlines-IWI"
11767,"korean-237"
11767,"norse-004"
11767,"ojibwe-003"
11767,"romanian-UMi"
11767,"sami-004"
11767,"western-UMi"
11783,"arabic-015"
11783,"korean-128"
11783,"romanian-Chi"
11783,"western-Cet"
11791,"chinese-242"
11791,"korean-120"
11918,"chinese-250"
12002,"chinese-053"
12086,"korean-108"
12093,"arabic-015"
12093,"chinese-242"
12093,"romanian-Chi"
12093,"western-Cet"
12107,"korean-128"
12189,"kamilaroi-Miy"
12222,"navajo-002"
12332,"chinese-315"
12332,"korean-110"
12387,"arabic-015"
12387,"chinese-242"
12387,"korean-120"
12387,"romanian-Chi"
12387,"western-Cet"
12390,"arabic-015"
12390,"chinese-053"
12390,"korean-128"
12390,"romanian-Chi"
12390,"western-Cet"
12394,"chinese-182"
12394,"western-Hyi"
12413,"arabic-025"
12413,"chinese-252"
12413,"western-Eri"
12484,"western-Hor"
12486,"arabic-025"
12486,"korean-129"
12486,"western-Eri"
12621,"korean-117"
12623,"chinese-062"
12623,"korean-116"
12640,"chinese-315"
12692,"tukano-005"
12706,"arabic-015"
12706,"chinese-242"
12706,"egyptian-015"
12706,"korean-120"
12706,"romanian-Chi"
12706,"western-Cet"
12719,"chinese-025"
12719,"indian-N02"
12719,"japanese_moon_stations-17"
12719,"korean-118"
12770,"arabic-015"
12770,"chinese-253"
12770,"korean-145"
12770,"romanian-Chi"
